id,produto,valor_unitario,quantidade
1,Veal - Striploin,14.44,36
2,Cumin - Whole,9.74,7
3,Dc - Frozen Momji,57.68,63
4,Tomatoes - Hot House,50.8,38
5,Dried Figs,80.27,3
6,Silicone Paper 16.5x24,48.35,43
7,Lamb - Bones,11.55,49
8,Muskox - French Rack,83.62,82
9,"Pasta - Canelloni, Single Serve",45.37,17
10,"Yogurt - Strawberry, 175 Gr",77.93,15
11,Flavouring Vanilla Artificial,58.94,99
12,"Appetizer - Mini Egg Roll, Shrimp",17.71,50
13,Cream - 10%,27.81,85
14,"Lid - High Heat, Super Clear",78.87,31
15,Icecream Cone - Areo Chocolate,37.45,97
16,Juice - Orange,16.03,63
17,Plate Pie Foil,7.77,68
18,"Yogurt - Strawberry, 175 Gr",61.23,94
19,Pepper - Red Bell,78.99,64
20,Piping - Bags Quizna,54.41,33
21,"Wine - Saint - Bris 2002, Sauv",89.07,94
22,Garlic - Peeled,83.39,73
23,Olives - Morracan Dired,60.28,5
24,"Rum - Light, Captain Morgan",83.85,12
25,Seabream Whole Farmed,93.87,14
26,Bread Fig And Almond,66.9,78
27,Wine - Magnotta - Pinot Gris Sr,99.29,57
28,Pastry - Raisin Muffin - Mini,41.65,66
29,Bar Mix - Lime,83.23,91
30,Chinese Lemon Pork,86.69,97
31,Cranberry Foccacia,86.78,52
32,"Pepper - White, Whole",11.97,93
33,Chicken Giblets,67.97,3
34,Lid Coffeecup 12oz D9542b,25.2,45
35,Leeks - Large,29.1,95
36,Cotton Wet Mop 16 Oz,21.48,89
37,Passion Fruit,15.8,99
38,Pastry - Carrot Muffin - Mini,16.6,36
39,Wine - Clavet Saint Emilion,61.5,26
40,Remy Red Berry Infusion,2.3,64
41,"Quail - Whole, Boneless",53.3,51
42,Food Colouring - Orange,26.36,43
43,"Lettuce - Mini Greens, Whole",80.99,79
44,Baking Soda,10.29,84
45,Cookie Chocolate Chip With,14.45,86
46,Pork - Smoked Back Bacon,50.61,1
47,Grenadine,96.18,92
48,"Bread - Roll, Calabrese",19.28,5
49,Wine - Savigny - Les - Beaune,77.0,44
50,Wine - Pinot Noir Pond Haddock,69.87,7
51,Flour - Strong Pizza,53.59,34
52,Muffin Batt - Blueberry Passion,92.4,10
53,Container - Foam Dixie 12 Oz,68.89,89
